3-grams:
ba	-0.8845227825800641
bak	-3.704058898567523
aki	-2.447071103587815
kit	-1.9556776690147053
it 	-1.8569107465318364
t k	-4.855452509744047
 ka	-0.9433193825632444
kah	-4.920917480880804
ahi	-4.389319705426283
hit	-2.4230930120229353
t n	-3.698105574381204
 na	-0.878851814770106
nag	-3.7595227386331613
agb	-5.625516599071791
gba	-1.0793224526614056
bag	-4.300846834685469
ago	-4.125251262925916
go 	-2.269888076874856
o k	-3.521300762486033
ka 	-2.629151356503694
a n	-3.1226780792228954
na 	-1.5707288435703044
a m	-3.6950892631104204
 ma	-0.909240409512897
may	-2.4246970270150596
ay 	-1.6784795859294404
y p	-4.1193469022701255
 pa	-0.9173963332199547
pag	-2.7834164245793227
agd	-5.919247802128501
gdu	-4.330916878114617
dud	-7.08533966935737
udu	-5.59352451422458
uda	-3.078951341394822
da 	-3.171902650882755
a p	-3.9712353645150866
pa 	-2.820004058488091
a r	-6.323751779235872
 ri	-2.3292144489658546
rin	-2.2448375678612567
in?	-8.351611430870374
n? 	-0.6835263352047458
? #	-4.20945336562895
 #k	-2.726215679999748
#kc	-0.07730572616744892
kca	-0.16535150870305165
cap	-2.0502343025201366
api	-2.267933205246633
pin	-0.8762646315777551
ino	-3.787710545677048
noy	-2.3328340488590857
oys	-1.415037499278844
yst	-1.0783969064927639
sta	-1.79031501875914
tar	-3.230429740401866
ar 	-3.332506453989291
r #	-2.1465667984843444
 #l	-4.2137440298152775
#li	-0.8783214434117476
liz	-3.6149453669368707
iza	-0.9426668249340484
zas	-1.684026628250259
aso	-3.2311882968992087
sob	-1.9696263509564813
obe	-1.5454811719910684
ber	-2.573280695673521
era	-2.998571824624281
ran	-2.3963794481019955
ano	-4.2715677083215535
no	-6.1054235527560134
o	0.0
g	-6.124321722325973
gd	-7.011227255423254
gdr	-4.745954377393461
dra	-2.1284057320040457
rag	-5.971881619574085
gon	-3.612574731929016
on 	-1.9632741523838957
n (	-9.73893668167614
 (b	-5.159871336778389
(bi	-2.0
big	-1.9210922878358148
igb	-4.047371819158349
ban	-2.5638812405192626
ang	-1.459906230705227
ng 	-0.48503093554894505
g -	-10.17508167482833
 - 	-0.5311912442801754
- f	-4.814696897398772
 fx	-8.818582177480858
fxx	-4.392317422778761
xxk	-5.599912842187128
xk 	-5.491853096329675
k i	-6.358724450875939
 it	-3.2321734421290333
it)	-11.396069557639867
t) 	-0.1926450779423959
) h	-1.6142568075151942
 ht	-1.0523721767819776
htt	-0.1537402339811074
ttp	-0.18560180093827613
tps	-0.040729290923642046
ps:	-0.07906558407125137
s:/	-0.19857803369613702
://	-0.008153400268274887
//t	-0.010006121731422431
/t.	-0.06411040532418003
t.c	-0.07783317449889932
.co	-0.009162908164757944
co/	-0.3650894427008164
o/o	-5.2140877899190246
/ob	-5.475733430966398
obf	-9.69522829149575
bfx	-4.7279204545632
fxe	-4.392317422778761
xee	-4.392317422778761
ee3	-10.571752643503546
e3a	-5.321928094887363
3ap	-3.584962500721156
aps	-5.882643049361842
ps	-8.55884584810035
s	0.0
@	-2.358293662557304
@a	-3.4463384370773062
@an	-2.746088115056675
non	-3.1323906003562825
ony	-6.293021751730557
nym	-7.131342539123261
ymo	-3.4304525516655313
mou	-5.791478013615259
ous	-2.5909314585154
usd	-8.150593523190379
sde	-4.6865005271832185
dev	-6.892217531229665
evi	-2.463796811198699
vil	-4.060204634205916
il0	-9.458748362626
l0 	-3.9068905956085187
0 l	-5.104336659814735
 lo	-2.7287982732948075
lol	-3.8349208092341875
olx	-8.377933504616104
lxx	-5.20945336562895
xx 	-2.429987840744815
x p	-4.483815777264256
 po	-3.174070221562617
pos	-2.6154968688692684
osi	-4.499845887083206
sit	-5.129283016944966
iti	-3.9951901213576835
tiv	-6.090490533947907
ive	-0.6866339186160617
ve 	-1.7419318470595555
e s	-4.3577083858486185
 so	-3.908946449238762
sou	-4.241430966418007
ouc	-6.920055054806967
uch	-2.2278059175228124
chn	-7.694357887221452
hna	-3.89616418901546
a a	-3.710444652820754
 ac	-5.8539634624815
ach	-3.258244804429099
chi	-1.7489140508435403
hi 	-4.344906658665455
i b	-4.55825222895869
 bt	-7.4721266914856646
bte	-6.3339007365534385
te 	-2.2628990114325975
e h	-3.009098248308751
 ho	-5.413038713152846
hot	-3.5261731695135508
oti	-4.446765206801137
ti 	-3.853451336647058
i h	-4.623207670799459
 ha	-1.6326754507148047
ha 	-3.398310183081638
a o	-6.716069202014633
 or	-3.4694852833012204
or 	-2.930825914388141
r a	-4.1941562570026045
 ap	-6.901269177259856
ap 	-3.1601770248907504
p b	-6.468769483216634
 bh	-7.057089192206821
bhi	-3.2854022188622483
i s	-4.006949039588765
cha	-1.734355955153371
a k	-3.57141095918275
 kr	-8.573647187493322
kre	-3.1699250014423126
ren	-3.401250547548768
en.	-7.017050452192517
n..	-2.0893474855952823
...	-1.2390350865390176
..😒	-10.44604940671655
.😒😠	0.0
😒😠	0.0
😠	0.0
@e	-4.6897924739415835
@er	-3.89616418901546
erm	-5.949916018680164
rme	-3.207595419408367
meo	-6.957771764610703
eoz	-8.090112419664289
ozd	-5.523561956057013
zde	-3.4594316186372973
den	-2.355276545371452
en 	-3.245991659357903
n t	-4.453534462813891
 ti	-3.7454725314115964
tip	-7.049848549450561
ipi	-2.438573013739633
n?	-2.335603031784439
?	0.0
h	-4.5733065535281545
hh	-6.562242424221073
hha	-1.107803289534515
hah	-0.8831065994745824
aha	-0.2657553726342218
a h	-3.78829123993229
o/m	-5.021442711976628
/mu	-4.643856189774724
mu7	-9.390168956200183
u7a	-2.700439718141092
7aw	-4.807354922057604
awg	-8.687667284255213
wgg	-4.129283016944966
gg9	-8.894817763307943
g9g	-4.321928094887363
9g9	-4.247927513443585
g9	-3.321928094887362
9	0.0
a	-5.113181164720773
ay	-2.4988058569714418
ayy	-6.602244000102355
yy 	-2.137503523749935
y a	-4.056268219646745
 ay	-4.14994829011658
yyy	-1.2895066171949847
y 😍	-9.603162679534382
 😍😍	-1.736965594166206
😍😍😍	-1.0112272554232542
😍😍 	-1.3673710656485294
😍  	-1.5350372753894739
   	-2.374055216386032
  #	-1.518266053538157
 #i	-4.960557409937831
#iu	-7.22881869049588
iuu	-3.5443205162238103
uuu	-1.4979057664519329
uu 	-3.18379717602387
u h	-3.369233809665719
o/u	-5.2488532080797015
/u3	-5.3750394313469245
u33	-4.087462841250339
33f	-4.392317422778761
3f5	-3.584962500721156
f5i	-3.807354922057604
5il	-5.882643049361842
il9	-11.043710863347156
l90	-2.4594316186372973
906	-5.044394119358453
06	-5.321928094887363
6	0.0
n	-5.463123635777731
na	-0.35049724708413327
naa	-6.20760343293393
aal	-4.8043208619679705
ala	-1.5163306768032616
lal	-4.344072340726186
la 	-2.3955790526931713
 ko	-2.252921839687617
ko 	-0.6233618963354358
o w	-6.093942991571321
 wa	-0.792799086102429
wal	-2.26150624267567
pal	-3.8349029348674297
lan	-2.0138647680742565
g 2	-8.853153579940969
 29	-7.2761244052742375
29 	-2.146841388329271
9 &	-6.539158811108031
 & 	-0.21996568394190794
& 3	-6.409390936137702
 30	-2.8579809951275723
30 	-1.0763508861301148
0 s	-4.256339753259786
 sa	-1.1520601609492955
sa 	-1.3011234797480662
a f	-6.526244643134615
 fe	-2.841302253980942
feb	-3.2719596356132774
ebr	-3.3398500028846247
bru	-4.580810857450689
rua	-4.185111405256988
uar	-3.21501289097085
ary	-4.614399887074401
ry.	-6.507794640198696
y. 	-0.6271907361104535
. 😂	-5.3592004851336315
 😂	-2.159198594849254
😂	0.0
r	-1.1820800155203792
rt	-0.009489047885109179
rt 	-0.20434541159050823
t @	-0.8871457153132488
 @s	-4.129283016944966
@so	-3.4104297181633
sop	-6.511520129785751
oph	-3.3339007365534385
phi	-2.4136910735713273
hia	-6.5281284827212245
ia_	-5.162750968554577
a_s	-3.426264754702098
_sw	-3.2129937233341983
swi	-2.3583004845523243
wif	-5.008428622070581
ift	-2.640003864279118
ft2	-3.5360529002402097
t23	-1.9259994185562233
23:	-3.0163018123291003
3: 	-0.08152988549659837
: y	-5.194030198259587
 yu	-1.1901028833799427
yun	-0.3581272859940962
ung	-0.9928402084271337
g p	-3.5366457608378594
par	-3.064384780990197
are	-4.195570808633183
reh	-6.296781280992739
eho	-5.169925001442312
ho 	-4.023672828984368
o s	-3.4048720875094265
 si	-2.1115450012105814
sil	-3.5716710043687656
ila	-1.5700051137277407
ags	-4.88475942574321
gsm	-7.383704292474052
smi	-3.1634987322828794
mil	-3.261265312980738
ile	-4.758308644484908
le 	-2.872418378351379
e a	-4.276671813757712
 af	-6.869560317532518
aft	-3.6758709969193664
fte	-1.5725787762653236
ter	-2.4206902572390545
er 	-2.4225188054928224
r n	-3.8934967788688937
 ni	-2.9726051357270147
nil	-3.2131950483472083
a i	-5.416861183627353
 i-	-6.624490864907793
i-p	-2.841302253980942
-pr	-2.5145731728297585
pra	-3.4643723599075678
ank	-6.8119400580186396
nk 	-2.3008664793595326
k y	-4.484255332959798
g i	-4.8087594605825155
 is	-2.4412690408520232
isa	-2.759959106414811
sa'	-7.483815777264256
a't	-1.604862058158861
't 	-0.5849625007211563
t i	-6.379719078777649
a 🙈	-12.131106701293476
